Ware_house_ID,WH_Manager_ID,Location_type,WH_capacity_size,zone,WH_regional_zone,num_refill_req_l3m,transport_issue_l1y,Competitor_in_mkt,retail_shop_num,wh_owner_type,distributor_num,flood_impacted,flood_proof,electric_supply,dist_from_hub,workers_num,wh_est_year,storage_issue_reported_l3m,temp_reg_mach,approved_wh_govt_certificate,wh_breakdown_l3m,govt_check_l3m,product_wg_ton,predicted_demand,optimized_supply
WH_100004,EID_50004,Rural,Large,North,Zone 5,3,1,2,4740,Company Owned,42,1,0,1,112,25.0,2009.0,18,0,C,6,24,24071,22649.256707381282,12500.0
WH_100005,EID_50005,Rural,Small,West,Zone 1,8,0,2,5053,Rented,37,0,0,1,152,35.0,2009.0,23,1,A+,3,3,32134,30253.661450677377,17500.0
WH_100006,EID_50006,Rural,Large,West,Zone 6,8,0,4,4449,Company Owned,38,0,0,1,77,27.0,2010.0,24,0,B,3,6,30142,31634.39565015564,13500.0
WH_100008,EID_50008,Rural,Small,South,Zone 6,8,1,4,5381,Rented,42,0,0,1,124,22.0,2013.0,13,1,A+,5,2,18082,16632.62842647714,11000.0
WH_100010,EID_50010,Rural,Large,North,Zone 6,7,1,3,4623,Company Owned,31,0,0,1,150,37.0,1999.0,17,0,B+,4,6,21125,21108.21878517946,18500.0
WH_100011,EID_50011,Rural,Large,North,Zone 6,7,0,5,4627,Rented,40,0,0,0,225,16.0,2017.0,11,0,B,2,28,14115,15359.978244265338,8000.0
WH_100012,EID_50012,Urban,Mid,North,Zone 2,4,0,3,5012,Rented,48,0,0,0,95,28.0,2022.0,4,0,B+,1,1,5124,6796.813692815573,6792.063692815573
WH_100013,EID_50013,Rural,Mid,South,Zone 4,6,1,2,6858,Company Owned,26,0,0,1,242,36.0,2008.0,22,1,A,5,11,30063,28056.219622530713,18000.0
WH_100018,EID_50018,Rural,Mid,North,Zone 3,4,1,4,4598,Rented,58,0,0,1,159,22.0,2001.0,29,1,A+,5,27,38082,36718.34241962776,11000.0
WH_100020,EID_50020,Rural,Mid,South,Zone 2,8,0,2,5678,Company Owned,31,0,0,1,65,41.0,2016.0,19,0,B+,4,1,24062,25276.562792349723,20500.0
WH_100021,EID_50021,Rural,Mid,South,Zone 3,6,0,2,3980,Company Owned,49,0,0,1,156,31.0,2010.0,14,1,B+,6,19,17117,17816.755089645798,15500.0
WH_100022,EID_50022,Rural,Small,North,Zone 6,5,0,4,3588,Company Owned,69,0,0,0,199,24.0,1997.0,28,1,C,6,8,40150,35212.64472664351,12000.0
WH_100023,EID_50023,Rural,Mid,South,Zone 3,8,1,2,4388,Company Owned,32,0,0,1,80,37.0,2003.0,25,0,C,5,19,32098,31625.269878536492,18500.0
WH_100025,EID_50025,Rural,Mid,North,Zone 3,7,1,3,5496,Company Owned,46,0,0,0,67,31.0,2006.0,22,0,B,3,27,26066,28397.424199432484,15500.0
WH_100029,EID_50029,Rural,Large,West,Zone 6,8,0,4,5119,Company Owned,48,0,0,0,261,24.0,2019.0,6,1,A,1,6,8056,9200.061877753964,9187.011877753963
WH_100030,EID_50030,Rural,Mid,West,Zone 4,5,0,4,4552,Rented,67,0,0,0,230,17.0,2017.0,12,0,B+,5,11,15082,15942.32940717641,8500.0
WH_100031,EID_50031,Rural,Large,North,Zone 6,4,0,2,3540,Rented,21,0,0,0,164,19.0,2009.0,18,1,B+,6,23,21064,22981.471673540684,9500.0
WH_100032,EID_50032,Rural,Mid,South,Zone 2,4,0,3,3559,Company Owned,51,0,0,1,197,29.0,2003.0,34,0,A,4,12,45061,43981.542586022086,14500.0
WH_100033,EID_50033,Rural,Mid,South,Zone 4,7,0,2,6695,Rented,51,0,0,1,80,24.0,2015.0,14,1,A+,3,26,21116,18901.714297427447,12000.0
WH_100034,EID_50034,Rural,Small,South,Zone 6,4,0,2,5329,Company Owned,57,0,0,0,262,46.0,2012.0,16,0,C,1,2,22055,21789.455144874897,21776.3551448749
WH_100036,EID_50036,Rural,Large,West,Zone 5,5,0,3,4031,Company Owned,59,0,0,1,125,24.0,1998.0,34,0,B,5,14,42116,43381.07604074944,12000.0
WH_100038,EID_50038,Rural,Large,West,Zone 6,5,0,4,6915,Company Owned,16,0,0,1,94,33.0,2021.0,0,0,,0,23,6117,1731.0553545679431,1726.355354567943
WH_100039,EID_50039,Rural,Mid,South,Zone 3,7,0,3,4243,Company Owned,23,0,0,1,153,43.0,2006.0,38,0,B,2,19,47071,49917.32800364052,21500.0
WH_100040,EID_50040,Rural,Large,West,Zone 6,3,0,4,6729,Rented,21,0,0,1,80,32.0,2004.0,23,1,C,5,23,32117,29410.948574150243,16000.0
WH_100043,EID_50043,Rural,Large,North,Zone 6,5,0,2,3285,Company Owned,56,0,0,0,123,28.0,2000.0,25,0,C,4,28,31139,31984.799047539535,14000.0
WH_100044,EID_50044,Rural,Large,North,Zone 6,7,1,2,4922,Rented,22,0,0,0,167,20.0,2005.0,22,0,B,4,23,27137,28083.533825374354,10000.0
WH_100045,EID_50045,Urban,Large,West,Zone 5,7,0,3,5667,Company Owned,63,0,0,1,220,38.0,2015.0,21,1,A+,3,14,31113,28065.34539414986,19000.0
WH_100047,EID_50047,Rural,Large,North,Zone 6,3,0,3,4200,Rented,57,0,0,1,216,39.0,1998.0,36,0,A,6,28,49083,45757.01002284419,19500.0
WH_100049,EID_50049,Urban,Large,South,Zone 5,3,0,3,3700,Company Owned,66,0,0,1,196,26.0,2000.0,31,1,A+,5,10,44116,39597.093656332785,13000.0
WH_100050,EID_50050,Rural,Mid,West,Zone 3,4,0,4,4020,Rented,36,0,0,0,240,23.0,2016.0,6,1,A+,5,19,8127,8016.144424325001,8004.144424325001
WH_100052,EID_50052,Rural,Mid,North,Zone 4,3,0,5,4248,Company Owned,29,0,0,1,242,31.0,2009.0,16,0,B+,5,26,20127,20605.537691445934,15500.0
WH_100053,EID_50053,Rural,Mid,North,Zone 2,6,1,2,3943,Rented,38,0,0,0,190,19.0,2008.0,18,0,A,4,1,23149,23062.105327086698,9500.0
WH_100054,EID_50054,Rural,Mid,South,Zone 3,4,0,2,4897,Rented,44,0,0,0,253,27.0,2011.0,18,1,A+,2,27,23134,24093.745084166032,13500.0
WH_100055,EID_50055,Rural,Small,North,Zone 6,3,0,4,4524,Company Owned,55,0,0,1,66,24.0,2015.0,14,0,B+,3,13,18150,18901.714297427447,12000.0
WH_100056,EID_50056,Rural,Large,West,Zone 6,6,0,4,5559,Rented,49,0,0,0,229,20.0,2014.0,9,1,B+,4,23,10080,12042.373139996169,10000.0
WH_100059,EID_50059,Urban,Large,North,Zone 5,8,0,2,7311,Company Owned,62,0,0,1,219,34.0,2010.0,21,0,A,6,17,28127,26980.38618636821,17000.0
WH_100060,EID_50060,Urban,Small,North,Zone 1,4,0,2,4657,Rented,39,0,0,0,110,17.0,2000.0,23,0,B+,5,30,27107,29124.372402935755,8500.0
WH_100062,EID_50062,Rural,Large,South,Zone 6,7,0,4,4445,Rented,47,1,1,1,239,29.0,2012.0,10,1,A+,5,23,13061,12965.928879809042,12953.978879809043
WH_100063,EID_50063,Rural,Mid,South,Zone 2,3,1,2,5193,Rented,30,0,0,0,237,26.0,2011.0,20,1,A+,6,32,25145,25410.725106337806,13000.0
WH_100065,EID_50065,Rural,Large,West,Zone 5,5,0,4,5772,Company Owned,28,0,0,1,181,32.0,1999.0,25,0,B+,3,25,28143,32155.401335990435,16000.0
WH_100066,EID_50066,Rural,Mid,South,Zone 4,4,0,4,6074,Rented,49,0,0,0,255,22.0,2000.0,32,0,C,4,26,44116,41148.43014426195,11000.0
WH_100068,EID_50068,Rural,Mid,South,Zone 4,7,0,2,4135,Rented,68,0,0,0,151,19.0,2003.0,27,0,B+,6,26,34108,34333.41882679064,9500.0
WH_100072,EID_50072,Rural,Large,West,Zone 6,6,0,2,3820,Rented,50,0,0,1,58,29.0,2014.0,14,1,B+,1,23,18149,19314.56291713289,14500.0
WH_100075,EID_50075,Rural,Large,North,Zone 5,6,0,3,2802,Company Owned,40,0,0,1,256,28.0,2010.0,16,1,A,6,24,21130,20434.935402995063,14000.0
WH_100080,EID_50080,Rural,Large,West,Zone 6,5,0,4,7117,Company Owned,23,0,0,0,212,25.0,2008.0,18,0,B,3,23,20090,23636.566624500614,12500.0
WH_100084,EID_50084,Rural,Large,North,Zone 5,7,0,2,5526,Company Owned,27,1,1,1,257,32.0,2013.0,13,0,C,6,17,17097,16722.597061382025,16000.0
WH_100085,EID_50085,Urban,Mid,South,Zone 2,8,0,2,5245,Rented,18,0,1,0,70,31.0,2011.0,18,1,B+,1,32,24113,24335.991415420547,15500.0
WH_100086,EID_50086,Rural,Small,East,Zone 1,4,0,4,4564,Company Owned,56,0,1,1,160,37.0,1996.0,28,1,A+,5,31,39115,35383.247015094414,18500.0
WH_100087,EID_50087,Rural,Large,South,Zone 5,7,0,2,6633,Company Owned,27,0,0,0,181,33.0,2012.0,14,1,B,3,14,18123,18686.782169016573,16500.0
WH_100089,EID_50089,Rural,Mid,North,Zone 4,7,0,3,4156,Company Owned,39,0,0,1,96,43.0,2019.0,6,0,B,5,26,7118,8231.076552735874,8226.276552735875
WH_100091,EID_50091,Rural,Large,North,Zone 5,8,1,3,4821,Company Owned,59,0,0,1,271,28.0,2011.0,23,1,B+,2,14,28094,30306.98090137978,14000.0
WH_100096,EID_50096,Rural,Mid,West,Zone 4,7,0,4,5299,Company Owned,35,0,0,0,109,23.0,1997.0,34,0,C,2,11,46100,44036.1709917094,11500.0
WH_100099,EID_50099,Rural,Mid,North,Zone 4,3,0,3,4477,Company Owned,34,0,0,0,173,27.0,2021.0,0,0,,0,26,14130,1731.0553545679431,1722.405354567943
WH_100100,EID_50100,Rural,Mid,North,Zone 2,7,0,4,5118,Company Owned,39,0,0,1,114,39.0,1997.0,24,1,B,3,1,31133,30703.023093708558,19500.0
WH_100103,EID_50103,Rural,Mid,West,Zone 4,6,0,4,5117,Company Owned,51,0,0,1,96,32.0,2016.0,14,0,B+,3,26,18139,18973.35834023106,16000.0
WH_100105,EID_50105,Rural,Mid,West,Zone 2,5,0,4,4221,Company Owned,54,1,0,1,141,24.0,2015.0,12,1,A+,5,12,17058,15799.041321569151,12000.0
